,treatment_key,bertscore_precision,bertscore_precision,bertscore_precision,bertscore_recall,bertscore_recall,bertscore_f1,bertscore_f1,fact_presence_avg,fact_presence_avg
,,mean,std,count,mean,std,mean,std,mean,std
0,anti_vs_pro,0.25279818767681717,0.12149778453949871,50,0.4800960110127926,0.1838163357727542,0.3639441640675068,0.13356832468696134,0.6249436189234256,0.2233727533085068
1,control,0.266803313344717,0.2665874428807078,50,0.4681790683604777,0.34453736113150896,0.36535228410735726,0.2948643559452073,0.6504645625501871,0.2786055860755219
2,neutral_vs_pro,0.25582482158672065,0.1841228998685822,50,0.45919037707149984,0.21656484182855532,0.3557773288944736,0.1888512365523178,0.6795341765880585,0.19581853399155988
3,pro_vs_anti,0.2692092336341739,0.17736602658680078,50,0.45478690803051,0.19988304254053843,0.3605408959649503,0.17532641756354095,0.6159000270068645,0.2150018761479502
4,pro_vs_neutral,0.2013522831723094,0.15994705536741533,50,0.49865661706775427,0.2129362652899242,0.346495700981468,0.18040193121313094,0.7245537763834,0.15926202547334778
